variavel,media_abs_coeficiente,max_abs_coeficiente,quantidade_categorias
Área,0.3535824110099736,0.7609559129456246,13
Segmento de Mercado,0.285294099799457,1.2704988216670696,55
Problema,0.2479668338819828,1.1753524460709337,208
Assunto,0.19026567796557112,0.8247120687760308,153
Procurou Empresa,0.1343287582122833,0.17454136473053003,2
Sexo,0.10181910818314813,0.2223263884901658,4
Canal de Origem,0.09849326078547983,0.16137684962542914,5
Ano Abertura,0.08904259132126509,0.1930527130142444,12
Faixa Etária,0.08608471816711456,0.1476821062575375,7
Grupo Problema,0.07296273549445617,0.14664765674410546,8
UF,0.05699150754608561,0.17809199387799438,28
Como Comprou Contratou,0.04656317389962603,0.12113119458377729,10
Mês Abertura,0.03612760757551446,0.07537382878101531,13
Região,0.029512769153407913,0.059247713255307664,5
