variavel,importancia_total,importancia_media,quantidade_categorias
Segmento de Mercado,0.3362953,0.00611446,55
Problema,0.21933474,0.001054494,208
Área,0.20030117,0.015407782,13
Assunto,0.14532904,0.00094986305,153
Ano Abertura,0.020329794,0.0016941495,12
Mês Abertura,0.019986244,0.0015374033,13
UF,0.019486995,0.00069596415,28
Grupo Problema,0.013740903,0.0017176128,8
Como Comprou Contratou,0.008007344,0.0008007344,10
Canal de Origem,0.0057096565,0.0011419313,5
Faixa Etária,0.005353029,0.0007647184,7
Procurou Empresa,0.0031712176,0.0015856088,2
Região,0.002267611,0.0004535222,5
Sexo,0.0006869782,0.00017174456,4
