modelo,familia,configuracao,params,threshold,accuracy,precision_macro,recall_macro,f1_macro,precision_resolvida,recall_resolvida,f1_resolvida,roc_auc,log_loss,brier_score,tn,fp,fn,tp
XGBoost,Ensemble / Boosting,XGB_medio,"{'n_estimators': 250, 'max_depth': 6, 'learning_rate': 0.08, 'min_child_weight': 3}",0.5299999999999998,0.648435,0.6418989781493598,0.6393650718085707,0.6400749178901122,0.6058381679389313,0.5659600200812377,0.5852205357511547,0.6861472400137264,0.6486033201217651,0.22822289168834686,80084,32272,38041,49603
XGBoost,Ensemble / Boosting,XGB_simples,"{'n_estimators': 150, 'max_depth': 4, 'learning_rate': 0.1, 'min_child_weight': 5}",0.5299999999999998,0.65003,0.6433790205550609,0.6385060289378377,0.6393403860426473,0.6132513731327961,0.5452398338733969,0.5772492269037495,0.6840338291139729,0.6533299088478088,0.23044097423553467,82219,30137,39857,47787
XGBoost,Ensemble / Boosting,XGB_robusto,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.05, 'min_child_weight': 5}",0.5299999999999998,0.649075,0.6423756108532421,0.637509245572841,0.6383286070409686,0.6120876722178709,0.5439048879558213,0.5759855006796556,0.6846592486906814,0.6515286564826965,0.22959570586681366,82145,30211,39974,47670
Regressão Logística,Linear / Regressores,LR_C_0.1,{'C': 0.1},0.44999999999999984,0.640205,0.6333958400467684,0.6310363351733661,0.6316756275626602,0.5957324739688237,0.5568321847473872,0.575625866187008,0.6760148461610331,0.6368397371315719,0.2226295142497067,79238,33118,38841,48803
Regressão Logística,Linear / Regressores,LR_C_1.0,{'C': 1.0},0.45999999999999985,0.6421,0.6350649951234604,0.6308847202572834,0.6316133439481171,0.6021726962804661,0.5401168362922733,0.5694591473390433,0.675508604228185,0.6372435908420112,0.22278164423655275,81082,31274,40306,47338
Regressão Logística,Linear / Regressores,LR_C_10.0,{'C': 10.0},0.45999999999999985,0.642185,0.6351425620708231,0.6307771782048539,0.6315021856339889,0.6026844437633296,0.5384510063438456,0.56875990527096,0.6752817909532227,0.63755588231965,0.2228741941170033,81245,31111,40452,47192
SVM Linear calibrado,SVM,SVM_C_0.1,{'C': 0.1},0.5399999999999998,0.639295,0.6323907901980699,0.6298186137304731,0.630472575144075,0.595165310056106,0.5531240016430103,0.5733750450924617,0.67483428626623,0.6522628849062952,0.2299116576837129,79381,32975,39166,48478
SVM Linear calibrado,SVM,SVM_C_1.0,{'C': 1.0},0.5399999999999998,0.63871,0.6318560317957251,0.6295426247869598,0.6301676416249078,0.593862859931674,0.5553489115056365,0.5739605197990614,0.6742395169797584,0.6528401976628465,0.23020037078984992,79069,33287,38971,48673
SVM Linear calibrado,SVM,SVM_C_10.0,{'C': 10.0},0.5399999999999998,0.638535,0.6317173181087143,0.6295399501531281,0.6301483012320906,0.5933316309780031,0.5567409063940486,0.574454183173125,0.674164276680573,0.653112301676813,0.23032931880671248,78912,33444,38849,48795
Árvore de Decisão,Árvores,TREE_media,"{'max_depth': 20, 'min_samples_leaf': 500}",0.44999999999999984,0.64512,0.6429156636289586,0.6227114332835006,0.6197501522344109,0.6373072360616845,0.44135365798001003,0.5215316165565592,0.6539663061275696,0.6440116312397841,0.22599519953448916,90342,22014,48962,38682
Árvore de Decisão,Árvores,TREE_complexa,"{'max_depth': 30, 'min_samples_leaf': 200}",0.4199999999999998,0.62755,0.6205605179697447,0.6189486542591961,0.6194277166866518,0.579109432509803,0.5493359499794623,0.5638299118174046,0.6526120121212999,0.6448600818191271,0.22615086424521935,77364,34992,39498,48146
Árvore de Decisão,Árvores,TREE_simples,"{'max_depth': 10, 'min_samples_leaf': 1000}",0.4099999999999998,0.650785,0.6573328179015596,0.6230418321066511,0.6158625685637235,0.6709891841008203,0.3985098808817489,0.5000393709242146,0.6332744089098228,0.6480323797912212,0.22790701317397127,95230,17126,52717,34927
